Ca,Na,Mg,Si,K,Type
8.75,13.64,4.49,71.78,0.06,1
7.83,13.89,3.6,72.73,0.48,1
7.78,13.53,3.55,72.99,0.39,1
8.22,13.21,3.69,72.61,0.57,1
8.07,13.27,3.62,73.08,0.55,1
8.07,12.79,3.61,72.97,0.64,1
8.17,13.3,3.6,73.09,0.58,1
8.24,13.15,3.61,73.24,0.57,1
8.3,14.04,3.58,72.08,0.56,1
8.4,13,3.6,72.99,0.57,1
8.09,12.72,3.46,73.2,0.67,1
8.56,12.8,3.66,73.01,0.6,1
8.05,12.88,3.43,73.28,0.69,1
8.38,12.86,3.56,73.21,0.54,1
8.5,12.61,3.59,73.29,0.58,1
8.39,12.81,3.54,73.24,0.58,1
8.7,12.68,3.67,73.11,0.61,1
9.15,14.36,3.85,71.36,0.15,1
8.89,13.9,3.73,72.12,0.06,1
8.44,13.02,3.54,72.73,0.54,1
8.52,12.82,3.55,72.75,0.54,1
9,14.77,3.75,72.02,0.03,1
8.7,12.78,3.62,72.79,0.59,1
8.59,12.81,3.57,73.02,0.62,1
8.43,13.38,3.5,72.85,0.5,1
8.53,12.98,3.54,73,0.65,1
8.43,13.21,3.48,72.64,0.59,1
8.43,12.87,3.48,73.04,0.56,1
8.54,12.56,3.52,73.15,0.57,1
8.49,13.08,3.49,72.86,0.6,1
8.69,12.65,3.56,73.08,0.61,1
8.55,12.84,3.5,73.27,0.56,1
8.56,12.85,3.48,72.97,0.61,1
8.55,12.57,3.47,73.39,0.6,1
8.75,12.69,3.54,72.95,0.57,1
8.57,13.29,3.45,72.74,0.56,1
8.78,13.89,3.53,71.81,0.51,1
8.68,12.74,3.48,72.96,0.64,1
9.57,14.21,3.82,71.77,0.11,1
9.57,14.21,3.82,71.77,0.11,1
8.77,12.79,3.5,73.03,0.64,1
8.64,12.71,3.42,73.2,0.59,1
8.59,13.21,3.39,72.76,0.59,1
9.74,13.73,3.84,71.76,0.17,1
8.76,12.73,3.43,72.95,0.62,1
9,13.49,3.48,71.95,0.55,1
8.83,13.19,3.37,72.72,0.57,1
9.82,13.99,3.7,71.57,0.02,1
10.02,13.21,3.77,71.99,0.13,1
8.91,13.58,3.35,72.08,0.59,1
10.06,13.72,3.72,71.75,0.09,1
9.14,13.2,3.33,72.36,0.6,1
9.03,13.43,2.87,72.84,0.55,1
9.07,13.14,2.84,72.85,0.55,1
9.02,13.21,2.81,72.98,0.51,1
9.06,12.45,2.71,73.7,0.56,1
8.35,12.99,3.47,72.98,0.62,1
8.43,12.87,3.48,72.95,0.6,1
8.03,13.48,3.74,72.99,0.59,1
8.27,13.39,3.66,72.79,0.57,1
8.76,13.6,3.62,72.64,0.14,1
8.67,13.81,3.58,71.72,0.12,1
9.54,13.51,3.86,71.79,0.23,1
9.69,14.17,3.81,71.35,0,1
9.61,13.48,3.74,72.01,0.18,1
9.4,13.69,3.59,71.96,0.09,1
9.85,13.05,3.65,72.22,0.19,1
9.85,13.05,3.65,72.32,0.19,1
9.82,13.12,3.58,72.2,0.23,1
10.17,13.31,3.58,71.99,0.12,1
7.36,14.86,3.67,71.87,0.16,2
8.32,13.64,3.87,71.96,0.54,2
7.83,13.09,3.59,73.1,0.67,2
7.89,13.34,3.57,72.87,0.61,2
7.9,13.02,3.56,73.11,0.72,2
7.96,13.02,3.58,73.12,0.69,2
8.03,13.44,3.61,72.39,0.66,2
8.04,13,3.58,72.83,0.61,2
7.94,13.92,3.52,72.88,0.37,2
7.97,12.82,3.52,72.86,0.69,2
7.97,12.86,3.52,72.66,0.69,2
7.86,13.25,3.45,73.17,0.61,2
8.1,13.41,3.55,72.81,0.68,2
8.05,13.09,3.52,72.87,0.68,2
7.08,14.25,3.09,72.28,1.1,2
8.21,13.36,3.58,72.72,0.45,2
8.03,13.24,3.49,73.25,0.38,2
8.08,13.4,3.49,72.65,0.67,2
8.12,13.01,3.5,72.89,0.6,2
8.08,12.55,3.48,73.23,0.63,2
8.96,12.93,3.74,72.28,0.64,2
8.27,12.9,3.44,73.06,0.44,2
8.39,13.12,3.41,73.26,0.07,2
8.22,13.24,3.34,73.1,0.39,2
8.24,12.71,3.33,73.28,0.67,2
8.6,13.36,3.43,72.26,0.51,2
9.13,13.02,3.62,72.34,0.64,2
8.9,12.2,3.25,73.55,0.62,2
8.54,12.67,2.88,73.21,0.73,2
8.79,12.96,2.96,72.92,0.6,2
8.79,12.75,2.85,73.27,0.57,2
9.23,12.35,2.72,72.87,0.7,2
9.42,12.62,2.76,73.81,0.35,2
11.64,13.8,3.15,70.57,0.08,2
10.79,13.83,2.9,71.15,0.08,2
13.24,11.45,0,72.19,0.81,2
13.3,10.73,0,69.81,0.58,2
16.19,12.3,0,70.16,0.12,2
11.52,14.43,0,72.67,0.1,2
10.99,13.72,0,74.45,0,2
14.68,11.23,0,73.21,0,2
14.96,11.02,0,73.08,0,2
14.4,12.64,0,72.02,0.06,2
8.21,13.46,3.83,72.55,0.57,2
8.43,13.1,3.97,72.44,0.6,2
8.28,13.41,3.89,72.38,0.51,2
8.31,13.24,3.9,72.33,0.55,2
7.88,13.72,3.68,72.06,0.64,2
8.03,13.3,3.64,72.53,0.65,2
7.96,13.56,3.57,72.45,0.64,2
8.42,13.25,3.76,72.4,0.58,2
8.03,12.93,3.54,72.96,0.64,2
8.1,13.23,3.54,72.84,0.56,2
7.99,13.48,3.48,72.52,0.62,2
8.52,13.2,3.68,72.75,0.54,2
8.55,12.93,3.66,72.51,0.58,2
8.6,12.94,3.61,72.75,0.56,2
9.85,13.78,2.28,71.99,0.49,2
9.57,13.55,2.09,72.18,0.53,2
10.56,13.98,1.35,71.76,0.39,2
11.14,13.75,1.01,72.19,0.33,2
13.44,13.7,0,71.24,0.19,2
8.15,13.43,3.98,72.49,0.58,2
8.21,13.71,3.93,71.81,0.54,2
8.12,13.33,3.85,72.78,0.52,2
8.44,13.19,3.9,72.33,0.55,2
8.38,13,3.8,73.07,0.56,2
8.11,12.89,3.62,72.96,0.61,2
7.9,12.79,3.52,73.36,0.66,2
7.99,12.87,3.56,73.14,0.65,2
8.11,13.33,3.54,72.54,0.68,2
8.41,13.2,3.63,72.83,0.57,2
8.23,12.85,3.51,73.01,0.68,2
8.18,13,3.47,72.72,0.66,2
8.81,12.99,3.18,72.97,0.58,2
8.68,12.85,3.67,72.57,0.62,2
