RI,Na,Mg,Si,Al,Type
1.52101,13.64,4.49,71.78,1.1,1
1.51761,13.89,3.6,72.73,1.36,1
1.51618,13.53,3.55,72.99,1.54,1
1.51766,13.21,3.69,72.61,1.29,1
1.51742,13.27,3.62,73.08,1.24,1
1.51596,12.79,3.61,72.97,1.62,1
1.51743,13.3,3.6,73.09,1.14,1
1.51756,13.15,3.61,73.24,1.05,1
1.51918,14.04,3.58,72.08,1.37,1
1.51755,13,3.6,72.99,1.36,1
1.51571,12.72,3.46,73.2,1.56,1
1.51763,12.8,3.66,73.01,1.27,1
1.51589,12.88,3.43,73.28,1.4,1
1.51748,12.86,3.56,73.21,1.27,1
1.51763,12.61,3.59,73.29,1.31,1
1.51761,12.81,3.54,73.24,1.23,1
1.51784,12.68,3.67,73.11,1.16,1
1.52196,14.36,3.85,71.36,0.89,1
1.51911,13.9,3.73,72.12,1.18,1
1.51735,13.02,3.54,72.73,1.69,1
1.5175,12.82,3.55,72.75,1.49,1
1.51966,14.77,3.75,72.02,0.29,1
1.51736,12.78,3.62,72.79,1.29,1
1.51751,12.81,3.57,73.02,1.35,1
1.5172,13.38,3.5,72.85,1.15,1
1.51764,12.98,3.54,73,1.21,1
1.51793,13.21,3.48,72.64,1.41,1
1.51721,12.87,3.48,73.04,1.33,1
1.51768,12.56,3.52,73.15,1.43,1
1.51784,13.08,3.49,72.86,1.28,1
1.51768,12.65,3.56,73.08,1.3,1
1.51747,12.84,3.5,73.27,1.14,1
1.51775,12.85,3.48,72.97,1.23,1
1.51753,12.57,3.47,73.39,1.38,1
1.51783,12.69,3.54,72.95,1.34,1
1.51567,13.29,3.45,72.74,1.21,1
1.51909,13.89,3.53,71.81,1.32,1
1.51797,12.74,3.48,72.96,1.35,1
1.52213,14.21,3.82,71.77,0.47,1
1.52213,14.21,3.82,71.77,0.47,1
1.51793,12.79,3.5,73.03,1.12,1
1.51755,12.71,3.42,73.2,1.2,1
1.51779,13.21,3.39,72.76,1.33,1
1.5221,13.73,3.84,71.76,0.72,1
1.51786,12.73,3.43,72.95,1.19,1
1.519,13.49,3.48,71.95,1.35,1
1.51869,13.19,3.37,72.72,1.18,1
1.52667,13.99,3.7,71.57,0.71,1
1.52223,13.21,3.77,71.99,0.79,1
1.51898,13.58,3.35,72.08,1.23,1
1.5232,13.72,3.72,71.75,0.51,1
1.51926,13.2,3.33,72.36,1.28,1
1.51808,13.43,2.87,72.84,1.19,1
