Na,Mg,Al,Si,Ca,Type
13.64,4.49,1.1,71.78,8.75,1
13.89,3.6,1.36,72.73,7.83,1
13.53,3.55,1.54,72.99,7.78,1
13.21,3.69,1.29,72.61,8.22,1
13.27,3.62,1.24,73.08,8.07,1
12.79,3.61,1.62,72.97,8.07,1
13.3,3.6,1.14,73.09,8.17,1
13.15,3.61,1.05,73.24,8.24,1
14.04,3.58,1.37,72.08,8.3,1
13,3.6,1.36,72.99,8.4,1
12.72,3.46,1.56,73.2,8.09,1
12.8,3.66,1.27,73.01,8.56,1
12.88,3.43,1.4,73.28,8.05,1
12.86,3.56,1.27,73.21,8.38,1
12.61,3.59,1.31,73.29,8.5,1
12.81,3.54,1.23,73.24,8.39,1
12.68,3.67,1.16,73.11,8.7,1
14.36,3.85,0.89,71.36,9.15,1
13.9,3.73,1.18,72.12,8.89,1
13.02,3.54,1.69,72.73,8.44,1
12.82,3.55,1.49,72.75,8.52,1
14.77,3.75,0.29,72.02,9,1
12.78,3.62,1.29,72.79,8.7,1
12.81,3.57,1.35,73.02,8.59,1
13.38,3.5,1.15,72.85,8.43,1
12.98,3.54,1.21,73,8.53,1
13.21,3.48,1.41,72.64,8.43,1
12.87,3.48,1.33,73.04,8.43,1
12.56,3.52,1.43,73.15,8.54,1
13.08,3.49,1.28,72.86,8.49,1
12.65,3.56,1.3,73.08,8.69,1
12.84,3.5,1.14,73.27,8.55,1
12.85,3.48,1.23,72.97,8.56,1
12.57,3.47,1.38,73.39,8.55,1
12.69,3.54,1.34,72.95,8.75,1
13.29,3.45,1.21,72.74,8.57,1
13.89,3.53,1.32,71.81,8.78,1
12.74,3.48,1.35,72.96,8.68,1
14.21,3.82,0.47,71.77,9.57,1
14.21,3.82,0.47,71.77,9.57,1
12.79,3.5,1.12,73.03,8.77,1
12.71,3.42,1.2,73.2,8.64,1
13.21,3.39,1.33,72.76,8.59,1
13.73,3.84,0.72,71.76,9.74,1
12.73,3.43,1.19,72.95,8.76,1
13.49,3.48,1.35,71.95,9,1
13.19,3.37,1.18,72.72,8.83,1
13.99,3.7,0.71,71.57,9.82,1
13.21,3.77,0.79,71.99,10.02,1
13.58,3.35,1.23,72.08,8.91,1
13.72,3.72,0.51,71.75,10.06,1
13.2,3.33,1.28,72.36,9.14,1
13.43,2.87,1.19,72.84,9.03,1
13.14,2.84,1.28,72.85,9.07,1
13.21,2.81,1.29,72.98,9.02,1
12.45,2.71,1.29,73.7,9.06,1
12.99,3.47,1.12,72.98,8.35,1
12.87,3.48,1.29,72.95,8.43,1
13.48,3.74,1.17,72.99,8.03,1
13.39,3.66,1.19,72.79,8.27,1
13.6,3.62,1.11,72.64,8.76,1
13.81,3.58,1.32,71.72,8.67,1
13.51,3.86,0.88,71.79,9.54,1
14.17,3.81,0.78,71.35,9.69,1
13.48,3.74,0.9,72.01,9.61,1
13.69,3.59,1.12,71.96,9.4,1
13.05,3.65,0.87,72.22,9.85,1
13.05,3.65,0.87,72.32,9.85,1
13.12,3.58,0.9,72.2,9.82,1
13.31,3.58,0.82,71.99,10.17,1
14.86,3.67,1.74,71.87,7.36,2
13.64,3.87,1.27,71.96,8.32,2
13.09,3.59,1.52,73.1,7.83,2
13.34,3.57,1.57,72.87,7.89,2
13.02,3.56,1.54,73.11,7.9,2
13.02,3.58,1.51,73.12,7.96,2
13.44,3.61,1.54,72.39,8.03,2
13,3.58,1.54,72.83,8.04,2
13.92,3.52,1.25,72.88,7.94,2
12.82,3.52,1.9,72.86,7.97,2
12.86,3.52,2.12,72.66,7.97,2
13.25,3.45,1.43,73.17,7.86,2
13.41,3.55,1.25,72.81,8.1,2
13.09,3.52,1.55,72.87,8.05,2
14.25,3.09,2.08,72.28,7.08,2
13.36,3.58,1.49,72.72,8.21,2
13.24,3.49,1.47,73.25,8.03,2
13.4,3.49,1.52,72.65,8.08,2
13.01,3.5,1.48,72.89,8.12,2
12.55,3.48,1.87,73.23,8.08,2
12.93,3.74,1.11,72.28,8.96,2
12.9,3.44,1.45,73.06,8.27,2
13.12,3.41,1.58,73.26,8.39,2
13.24,3.34,1.47,73.1,8.22,2
12.71,3.33,1.49,73.28,8.24,2
13.36,3.43,1.43,72.26,8.6,2
13.02,3.62,1.06,72.34,9.13,2
12.2,3.25,1.16,73.55,8.9,2
12.67,2.88,1.71,73.21,8.54,2
12.96,2.96,1.43,72.92,8.79,2
12.75,2.85,1.44,73.27,8.79,2
12.35,2.72,1.63,72.87,9.23,2
12.62,2.76,0.83,73.81,9.42,2
13.8,3.15,0.66,70.57,11.64,2
13.83,2.9,1.17,71.15,10.79,2
11.45,0,1.88,72.19,13.24,2
10.73,0,2.1,69.81,13.3,2
12.3,0,1,70.16,16.19,2
14.43,0,1,72.67,11.52,2
